        # num denom aH bH cH sH aMH bMH cMH sMH aPL bPL sPL aE bE sE aL bL sL bestS function min max
l2619 l2628     4093.6665       0.8985       0.2619      67.3894       0.2000       0.2000       0.2000     242.9221    3638.3838       0.1566     116.9880    3140.4094       1.1324     190.7776    3648.6575     568.0272     105.7186      67.3894  HO         0.42         2.86
l2619 l2659        0.2000       0.2000       0.2000     242.9687       0.2000       0.2000       0.2000     242.9324    3753.1562       0.2048      66.5154    2896.0862       1.2865     108.0652    3755.9922     727.5526      61.2525      61.2525  LO         0.48         1.54
l2626 l2609     3613.0039       0.9345      -0.0766      73.3443       0.2000       0.2000       0.2000     242.9741    3358.9653      -0.1303      81.1646    4000.6562       0.8504      74.6519    3363.7891    -455.3629      77.9332      73.3443  HO         0.26         1.40
l2628 l2619     4101.9038       0.8950      -0.0202      69.6841    4093.9922       0.8985      -0.2620      67.3941    3638.4038      -0.1566     117.0121    4168.3101       0.8815      67.5649    3648.6296    -567.9344     105.6952      67.3941  MH         0.35         2.39
l2659 l2619        0.2000       0.2000       0.2000     242.9350    4617.7314       0.8147      -0.3621      56.1725    3753.1731      -0.2048      66.5165    4350.0952       0.8633      53.7477    3756.0015    -727.5769      61.2547      53.7477  EX         0.65         2.07
l2659 l2700     3773.3093       1.0235      -0.2255      74.8117    3669.0559       1.0524      -0.1536      74.4120    3850.9290      -0.1846      73.7975    4205.8735       0.9022      80.7002    3840.0530    -642.4818      73.7841      73.7841  LO         0.87         2.67
l2664 l2699     3614.3037       0.9525      -0.1591      74.9212    3645.7131       0.9449      -0.2696      72.8569    3435.8828      -0.2030      78.1684    4329.4233       0.8008      71.8194    3442.0317    -716.1715      74.9004      71.8194  EX         0.46         1.36
l2664 l2700     3762.8430       0.9654      -0.1043      69.8499       0.2000       0.2000       0.2000     242.9841    3622.9470      -0.1513      75.2027    4082.4321       0.8943      73.1344    3628.3689    -529.1140      71.8315      69.8499  HO         0.48         2.28
l2666 l2700     4022.4143       0.9275      -0.0760      65.8969       0.2000       0.2000       0.2000     242.9812    3731.9089      -0.1865      75.0595    4229.9336       0.8814      65.8881    3732.4607    -653.3428      71.0204      65.8881  EX         0.65         2.25
l2667 l2700     3687.3904       0.9623      -0.1052      67.9216    3636.0461       0.9745      -0.1739      68.3393    3534.3738      -0.1484      69.6511    4077.2366       0.8782      76.8503    3541.8696    -519.5696      68.3412      67.9216  HO         0.44         1.97
l2675 l2699        0.2000       0.2000       0.2000     242.9316       0.2000       0.2000       0.2000     242.9733    3467.7305      -0.1856      81.7672    4255.6694       0.8239      62.3198    3474.7954    -656.9667      74.9366      62.3198  EX         0.40         1.55
