                        # n, d, f, numerator, denominator, feature, p0, p1, p2, sigma_fit, Rap, minr, maxr, minew, maxew
 924  936  939       6771.04      6783.41      6785.38  -3.10712E-02  4.94005E-01  3.86915E-01        0.0999       0.2884       0.5396       0.9942      20.7600      37.4500
 924  939  918       6771.04      6785.38      6764.08  -9.75445E-03  2.50555E-01  2.40118E-01        0.0978       0.3171       1.3183       3.1951      74.3100     114.7500
 924  939  940       6771.04      6785.38      6785.77  -2.67083E-02  2.14579E-01  3.17242E-01        0.0810       0.5322       1.3183       3.1951      27.2500      43.9700
 924  940  939       6771.04      6785.77      6785.38  -2.95290E-02  2.45375E-01  2.69924E-01        0.0856       0.4786       1.1503       2.4448      20.7600      37.4500
 925  915  940       6771.81      6760.64      6785.77  -3.68606E-02  5.90947E-01  5.76538E-01        0.0935       0.3774       0.5713       1.2020      27.2500      43.9700
 925  918  940       6771.81      6764.08      6785.77  -4.22607E-02  1.06497E+00  8.00942E-01        0.0877       0.4485       0.2613       0.5903      27.2500      43.9700
 925  919  940       6771.81      6764.44      6785.77  -4.30037E-02  1.24813E+00  6.81086E-01        0.0954       0.3488       0.3548       0.6479      27.2500      43.9700
 925  921  940       6771.81      6765.84      6785.77  -4.64210E-02  5.81615E-01  8.84896E-01        0.0836       0.5019       0.5677       1.4925      27.2500      43.9700
 925  926  940       6771.81      6773.22      6785.77  -4.02636E-02  3.62233E-01  8.09559E-01        0.0913       0.4018       0.6727       1.6405      27.2500      43.9700
 925  929  940       6771.81      6776.08      6785.77  -4.29057E-02  5.82171E-01  9.17975E-01        0.0820       0.5187       0.3861       1.1582      27.2500      43.9700
 925  930  940       6771.81      6777.25      6785.77  -4.18261E-02  4.82952E-01  8.87814E-01        0.0854       0.4770       0.4535       1.2665      27.2500      43.9700
 925  932  940       6771.81      6777.83      6785.77  -4.13584E-02  1.07568E+00  6.98745E-01        0.0961       0.3362       0.3405       0.6652      27.2500      43.9700
 925  933  940       6771.81      6779.04      6785.77  -4.21680E-02  6.20011E-01  7.71783E-01        0.0921       0.3918       0.5110       1.1335      27.2500      43.9700
 925  936  940       6771.81      6783.41      6785.77  -4.28388E-02  1.01771E+00  7.76088E-01        0.0844       0.4906       0.3069       0.7882      27.2500      43.9700
 925  937  940       6771.81      6783.74      6785.77  -4.40726E-02  6.54314E-01  8.59436E-01        0.0814       0.5264       0.4254       1.2678      27.2500      43.9700
 925  938  940       6771.81      6784.13      6785.77  -4.29289E-02  9.42611E-01  8.01019E-01        0.0870       0.4591       0.2985       0.7655      27.2500      43.9700
 925  939  918       6771.81      6785.38      6764.08  -1.64883E-02  3.10794E-01  9.06972E-01        0.0969       0.3278       0.7796       2.5329      74.3100     114.7500
 925  939  940       6771.81      6785.38      6785.77  -3.80887E-02  2.57288E-01  7.54684E-01        0.0752       0.5969       0.7796       2.5329      27.2500      43.9700
 925  940  936       6771.81      6785.77      6783.41  -1.95520E-02  5.27423E-01  7.78717E-01        0.0959       0.3372       0.7401       1.7280      64.4500      94.5600
 925  940  939       6771.81      6785.77      6785.38  -3.48529E-02  2.33514E-01  5.52417E-01        0.0963       0.3397       0.7401       1.7280      20.7600      37.4500
 925  941  940       6771.81      6786.50      6785.77  -3.90684E-02  2.65174E-01  8.80053E-01        0.0908       0.4078       0.6624       2.0581      27.2500      43.9700
 926  916  940       6773.22      6762.71      6785.77  -3.72795E-02 -9.27931E-01  1.67594E+00        0.0924       0.3913       0.3896       0.8329      27.2500      43.9700
 926  917  940       6773.22      6763.12      6785.77  -3.88069E-02 -6.40348E-01  1.61178E+00        0.0865       0.4645       0.4624       1.0930      27.2500      43.9700
 926  920  939       6773.22      6765.52      6785.38  -3.70731E-02 -6.26016E-01  1.23910E+00        0.0936       0.3771       0.3491       0.7455      20.7600      37.4500
 926  920  940       6773.22      6765.52      6785.77  -3.80073E-02 -8.36363E-01  1.59379E+00        0.0958       0.3460       0.3491       0.7455      27.2500      43.9700
 926  922  939       6773.22      6766.10      6785.38  -3.64486E-02 -3.01747E-01  1.13089E+00        0.0925       0.3916       0.4289       1.4327      20.7600      37.4500
 926  922  940       6773.22      6766.10      6785.77  -3.77127E-02 -4.03158E-01  1.46231E+00        0.0916       0.4017       0.4289       1.4327      27.2500      43.9700
 926  923  939       6773.22      6770.51      6785.38  -3.66154E-02 -3.42393E-01  1.10667E+00        0.0989       0.3035       0.3577       1.0977      20.7600      37.4500
 926  923  940       6773.22      6770.51      6785.77  -3.88233E-02 -5.11970E-01  1.49249E+00        0.0930       0.3832       0.3577       1.0977      27.2500      43.9700
 926  924  939       6773.22      6771.04      6785.38  -3.17315E-02 -4.97801E-01  1.08675E+00        0.0956       0.3484       0.3890       0.9241      20.7600      37.4500
 926  925  940       6773.22      6771.81      6785.77  -4.09676E-02 -3.99300E-01  1.61666E+00        0.0923       0.3900       0.6096       1.4865      27.2500      43.9700
 926  927  940       6773.22      6773.49      6785.77  -3.92086E-02 -4.82667E-01  1.56574E+00        0.0945       0.3620       0.4532       1.2057      27.2500      43.9700
 926  928  939       6773.22      6775.32      6785.38  -3.53933E-02 -3.74875E-01  1.14371E+00        0.0977       0.3208       0.4544       1.0787      20.7600      37.4500
 926  928  940       6773.22      6775.32      6785.77  -3.77107E-02 -5.64825E-01  1.56406E+00        0.0923       0.3935       0.4544       1.0787      27.2500      43.9700
 926  933  939       6773.22      6779.04      6785.38  -3.54470E-02 -9.67279E-01  1.58119E+00        0.0956       0.3487       0.5623       0.8804      20.7600      37.4500
 926  934  939       6773.22      6779.36      6785.38  -3.70496E-02 -2.94876E-01  1.12393E+00        0.0934       0.3792       0.3645       1.2764      20.7600      37.4500
 926  934  940       6773.22      6779.36      6785.77  -3.75981E-02 -3.73353E-01  1.41286E+00        0.0941       0.3693       0.3645       1.2764      27.2500      43.9700
 926  942  940       6773.22      6787.29      6785.77  -4.05295E-02 -4.41509E-01  1.68029E+00        0.0972       0.3261       0.6188       1.4118      27.2500      43.9700
 927  915  940       6773.49      6760.64      6785.77  -3.53408E-02  4.36840E-01  5.96839E-01        0.1000       0.2889       0.8390       1.5365      27.2500      43.9700
 927  918  939       6773.49      6764.08      6785.38  -3.76649E-02  4.77481E-01  6.67209E-01        0.0996       0.2938       0.3221       0.8697      20.7600      37.4500
 927  918  940       6773.49      6764.08      6785.77  -3.97187E-02  7.19798E-01  8.18855E-01        0.0956       0.3478       0.3221       0.8697      27.2500      43.9700
