# line_id  wave		width
l0820      5615.00         0.21
l0821      5615.24         0.26
l0822      5615.64         0.54
l0823      5616.00         0.18
l0824      5616.16         0.13
l0825      5616.29         0.13
l0826      5616.60         0.32
l0827      5617.02         0.52
l0828      5617.55         0.24
l0829      5617.71         0.07
l0830      5617.81         0.13
l0831      5617.96         0.17
l0832      5618.10         0.13
l0833      5618.21         0.09
l0834      5618.36         0.20
l0835      5618.61         0.30
l0836      5618.83         0.16
l0837      5619.00         0.17
l0838      5619.17         0.17
l0839      5619.33         0.16
l0840      5619.58         0.33
l0841      5619.96         0.25
l0842      5620.25         0.35
l0843      5620.51         0.16
l0844      5620.70         0.22
l0845      5621.00         0.39
l0846      5621.35         0.30
l0847      5621.64         0.28
l0848      5621.87         0.18
l0849      5622.25         0.13
l0850      5622.44         0.25
l0851      5622.91         0.16
l0852      5623.05         0.12
l0853      5623.15         0.08
l0854      5623.29         0.20
l0855      5623.56         0.34
l0856      5624.00         0.26
l0857      5624.23         0.20
l0858      5624.54         0.42
l0859      5624.91         0.34
l0860      5625.20         0.18
l0861      5625.45         0.31
l0862      5625.69         0.18
l0863      5626.05         0.32
l0864      5626.44         0.20
l0865      5626.69         0.29
l0866      5627.16         0.26
l0867      5627.40         0.20
l0868      5627.63         0.24
l0869      5627.84         0.18
l0870      5628.21         0.39
l0871      5628.56         0.29
l0872      5628.77         0.14
l0873      5628.91         0.13
l0874      5630.12         0.26
l0875      5630.48         0.12
l0876      5630.64         0.20
l0877      5630.85         0.22
l0878      5631.04         0.15
l0879      5631.22         0.23
l0880      5631.41         0.13
l0881      5631.60         0.25
l0882      5631.89         0.12
l0883      5632.13         0.18
l0884      5632.39         0.34
l0885      5632.87         0.17
l0886      5633.04         0.17
l0887      5633.23         0.22
l0888      5633.42         0.17
l0889      5633.57         0.12
l0890      5633.88         0.49
l0891      5634.21         0.17
l0892      5634.47         0.36
l0893      5634.85         0.15
l0894      5635.04         0.22
l0895      5635.55         0.10
l0896      5635.66         0.13
l0897      5635.82         0.19
l0898      5635.98         0.13
l0899      5636.18         0.28
l0900      5636.52         0.22
l0901      5636.71         0.15
l0902      5636.90         0.24
l0903      5637.12         0.19
l0904      5637.32         0.22
l0905      5637.50         0.13
l0906      5637.70         0.28
l0907      5637.92         0.16
l0908      5638.16         0.31
l0909      5638.39         0.16
l0910      5638.53         0.12
l0911      5638.72         0.26
l0912      5638.92         0.14
l0913      5639.04         0.10
l0914      5639.17         0.17
l0915      5639.34         0.17
l0916      5639.50         0.14
l0917      5639.62         0.10
l0918      5639.75         0.15
l0919      5639.90         0.18
l0920      5640.11         0.24
l0921      5640.37         0.10
l0922      5640.46         0.09
l0923      5640.72         0.42
l0924      5641.00         0.15
l0925      5641.18         0.20
l0926      5641.40         0.25
l0927      5641.71         0.25
l0928      5641.90         0.12
l0929      5642.04         0.15
l0930      5642.20         0.18
l0931      5642.39         0.18
l0932      5642.55         0.14
l0933      5642.74         0.23
l0934      5643.13         0.26
l0935      5643.33         0.17
l0936      5643.58         0.11
l0937      5643.69         0.12
l0938      5643.81         0.12
l0939      5643.96         0.18
l0940      5644.15         0.19
l0941      5644.36         0.23
l0942      5644.58         0.22
l0943      5644.79         0.21
l0944      5645.21         0.29
l0945      5645.47         0.23
l0946      5645.70         0.20
l0947      5645.87         0.14
l0948      5646.12         0.36
l0949      5646.38         0.16
l0950      5646.65         0.21
l0951      5646.81         0.13
l0952      5646.95         0.14
l0953      5647.13         0.23
l0954      5647.33         0.16
l0955      5647.56         0.17
l0956      5647.81         0.33
l0957      5648.09         0.22
l0958      5648.26         0.12
l0959      5648.35         0.07
l0960      5648.69         0.46
l0961      5649.04         0.26
l0962      5649.23         0.13
l0963      5649.39         0.18
l0964      5649.56         0.17
l0965      5650.04         0.22
l0966      5650.21         0.12
l0967      5650.42         0.29
l0968      5650.63         0.15
l0969      5650.79         0.15
l0970      5651.03         0.15
l0971      5651.24         0.27
l0972      5651.47         0.20
l0973      5651.72         0.30
l0974      5652.15         0.55
l0975      5652.51         0.18
l0976      5652.68         0.16
l0977      5652.88         0.23
l0978      5653.06         0.13
l0979      5653.23         0.22
l0980      5653.49         0.20
l0981      5653.66         0.13
l0982      5653.98         0.52
l0983      5654.61         0.40
l0984      5654.88         0.15
l0985      5655.31         0.66
l0986      5655.77         0.25
l0987      5656.09         0.41
l0988      5656.58         0.18
l0989      5656.88         0.21
l0990      5657.13         0.17
l0991      5657.27         0.12
l0992      5657.49         0.32
l0993      5657.74         0.18
l0994      5657.91         0.16
l0995      5658.05         0.12
l0996      5658.19         0.16
l0997      5658.83         0.32
l0998      5659.08         0.18
l0999      5659.28         0.22
l1000      5659.49         0.11
l1001      5659.63         0.18
l1002      5660.41         0.24
l1003      5660.68         0.31
l1004      5661.02         0.20
l1005      5661.20         0.15
l1006      5661.52         0.26
l1007      5661.97         0.16
l1008      5662.15         0.19
l1009      5662.52         0.37
l1010      5662.90         0.37
l1011      5663.29         0.15
l1012      5663.48         0.22
l1013      5663.67         0.16
l1014      5663.80         0.11
l1015      5663.98         0.25
l1016      5665.21         0.14
l1017      5665.44         0.25
l1018      5665.83         0.27
l1019      5666.10         0.28
l1020      5666.37         0.25
l1021      5666.82         0.30
l1022      5667.18         0.22
l1023      5667.53         0.48
l1024      5667.93         0.32
l1025      5668.36         0.54
l1026      5668.75         0.24
l1027      5668.94         0.13
l1028      5669.12         0.24
l1029      5669.33         0.19
l1030      5669.62         0.36
l1031      5670.16         0.22
l1032      5670.42         0.29
l1033      5670.78         0.44
l1034      5671.23         0.16
l1035      5671.82         0.40
l1036      5672.09         0.10
l1037      5672.24         0.19
l1038      5672.74         0.16
l1039      5673.02         0.20
l1040      5673.17         0.11
l1041      5673.33         0.21
l1042      5673.50         0.13
l1043      5673.63         0.12
l1044      5673.75         0.12
l1045      5673.91         0.20
l1046      5674.15         0.29
l1047      5674.46         0.33
l1048      5675.07         0.18
l1049      5675.24         0.15
l1050      5675.42         0.23
l1051      5675.70         0.31
l1052      5675.98         0.25
l1053      5676.18         0.16
l1054      5676.43         0.35
l1055      5676.73         0.24
l1056      5676.96         0.21
l1057      5677.13         0.15
l1058      5677.36         0.30
l1059      5677.79         0.16
l1060      5678.01         0.18
l1061      5678.27         0.21
l1062      5678.46         0.17
l1063      5678.71         0.23
l1064      5678.98         0.32
l1065      5679.23         0.17
l1066      5679.38         0.17
l1067      5679.67         0.17
l1068      5680.06         0.17
l1069      5680.26         0.22
l1070      5680.96         0.24
l1071      5681.21         0.25
l1072      5682.60         1.03
l1073      5683.27         0.30
